rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
599;HD 20781;d;HD 20781 d;Radial Velocity;0;2019;2.915.800.000;0.164700;0.110000;1.061.000;0.03340;Msini;3.250;0.290;0.030;170.000;;;0;0;2;03h20m02.94s;50.012.260;-28d47m01.8s;-28.783.834;35.37;8.480;V (Johnson);6.553;Ks (2MASS);K0 V;5256.00;4.37;-0.310;0.70;0.83;-0.110;[Fe/H];
600;HD 20781;e;HD 20781 e;Radial Velocity;0;2019;8.550.730.000;0.337400;0.060000;1.403.000;0.04420;Msini;3.830;0.342;0.035;137.000;;;0;0;2;03h20m02.94s;50.012.260;-28d47m01.8s;-28.783.834;35.37;8.480;V (Johnson);6.553;Ks (2MASS);K0 V;5256.00;4.37;-0.310;0.70;0.83;-0.110;[Fe/H];
601;HD 20782;b;HD 20782 b;Radial Velocity;0;2006;59.706.430.000;1.364.900;0.950000;47.283.000;148.780;Msini;13.600;1.210;0.124;103.000;;;0;0;2;03h20m03.58s;50.014.908;-28d51m14.7s;-28.854.071;36.02;7.400;V (Johnson);5.827;Ks (2MASS);G3 V;5790.00;4.38;0.107;1.07;1.11;-0.060;[Fe/H];5.530
602;HD 207832;b;HD 207832 b;Radial Velocity;0;2012;16.007.000.000;0.586000;0.197000;17.798.480;0.56000;Msini;14.200;1.260;0.130;0.34200;;;0;0;1;21h52m36.28s;328.151.184;-26d01m35.6s;-26.026.560;59.03;8.780;V (Johnson);7.207;Ks (2MASS);G5 V;5726.00;4.48;-0.110;1.05;0.89;0.140;[Fe/H];1.360
603;HD 207832;c;HD 207832 c;Radial Velocity;0;2012;115.570.000.000;2.112.000;0.270000;23.201.590;0.73000;Msini;14.000;1.250;0.128;0.46500;;;0;0;1;21h52m36.28s;328.151.184;-26d01m35.6s;-26.026.560;59.03;8.780;V (Johnson);7.207;Ks (2MASS);G5 V;5726.00;4.48;-0.110;1.05;0.89;0.140;[Fe/H];1.360
604;HD 20794;b;HD 20794 b;Radial Velocity;0;2011;1.831.500.000;0.120700;0.000000;270.000;0.00850;Msin(i)/sin(i);1.450;0.129;0.013;487.000;660;;0;0;1;03h19m55.65s;49.981.876;-43d04m11.2s;-43.069.782;6.00;4.270;V (Johnson);2.636;Ks (2MASS);G8 V;5401.00;4.22;-0.163;0.70;0.92;-0.400;[Fe/H];5.760
605;HD 20794;c;HD 20794 c;Radial Velocity;0;2011;4.011.400.000;0.203600;0.000000;240.000;0.00760;Msin(i)/sin(i);1.350;0.121;0.012;536.000;508;;0;0;1;03h19m55.65s;49.981.876;-43d04m11.2s;-43.069.782;6.00;4.270;V (Johnson);2.636;Ks (2MASS);G8 V;5401.00;4.22;-0.163;0.70;0.92;-0.400;[Fe/H];5.760
606;HD 20794;d;HD 20794 d;Radial Velocity;0;2011;9.030.900.000;0.349900;0.000000;480.000;0.01500;Msin(i)/sin(i);2.040;0.182;0.019;311.000;388;;0;0;1;03h19m55.65s;49.981.876;-43d04m11.2s;-43.069.782;6.00;4.270;V (Johnson);2.636;Ks (2MASS);G8 V;5401.00;4.22;-0.163;0.70;0.92;-0.400;[Fe/H];5.760
607;HD 20794;e;HD 20794 e;Radial Velocity;0;2017;14.702.000.000;0.509000;0.290000;477.000;0.01501;Msini;2.030;0.181;0.019;313.000;;;0;0;1;03h19m55.65s;49.981.876;-43d04m11.2s;-43.069.782;6.00;4.270;V (Johnson);2.636;Ks (2MASS);G8 V;5401.00;4.22;-0.163;0.70;0.92;-0.400;[Fe/H];5.760
608;HD 208487;b;HD 208487 b;Radial Velocity;0;2004;13.008.000.000;0.524000;0.240000;16.526.500;0.52000;Msini;14.200;1.270;0.130;0.31700;;;0;0;1;21h57m19.85s;329.332.703;-37d45m49.0s;-37.763.622;44.00;7.471;V (Johnson);6.159;Ks (2MASS);G2 V;6067.00;4.33;0.244;1.13;1.20;0.022;[Fe/H];3.960
609;HD 208527;b;HD 208527 b;Radial Velocity;0;2012;87.550.000.000;2.100.000;0.080000;314.640.000;990.000;Msini;12.500;1.110;0.114;885.000;;;0;0;1;21h56m23.99s;329.099.945;+21d14m23.5s;21.239.859;314.48;6.400;V (Johnson);2.224;Ks (2MASS);M1 III;4035.00;1.40;2.863;1.60;51.10;-0.090;[Fe/H];2.000
610;HD 20868;b;HD 20868 b;Radial Velocity;0;2008;38.085.001.000;0.950000;0.750000;39.728.750;125.000;Msini;13.700;1.220;0.125;0.84900;;;0;0;1;03h20m42.69s;50.177.895;-33d43m48.4s;-33.730.103;47.79;9.920;V (Johnson);7.543;Ks (2MASS);K3/4 IV;4802.00;4.26;-0.556;0.39;0.76;0.050;[Fe/H];4.500
611;HD 208897;b;HD 208897 b;Radial Velocity;0;2017;35.270.000.000;1.050.000;0.070000;44.496.200;140.000;Msini;13.600;1.210;0.125;0.97200;;;0;0;1;21h58m59.69s;329.748.718;+19d01m13.1s;19.020.302;64.68;6.510;V (Johnson);4.198;Ks (2MASS);K0;4860.00;3.13;1.090;1.25;4.98;0.210;[Fe/H];
612;HD 209458;b;HD 209458 b;Radial Velocity;0;1999;352.474.859;0.047070;0.000000;23.201.590;0.73000;Mass;15.581;1.390;0.143;0.36200;1459;;1;0;1;22h03m10.77s;330.794.891;+18d53m03.5s;18.884.319;48.37;7.632;V (Johnson);6.308;Ks (2MASS);F8;6091.00;4.45;0.232;1.23;1.19;0.010;[Fe/H];3.100
613;HD 210193;b;HD 210193 b;Radial Velocity;0;2019;64.991.800.000;1.487.000;0.240000;15.310.000;0.48170;Msini;14.300;1.270;0.131;0.28800;;;0;0;1;22h09m34.61s;332.394.226;-41d13m29.6s;-41.224.892;42.25;7.823;V (Johnson);6.310;Ks (2MASS);G3 V;5790.00;;0.056;1.04;1.06;;;
614;HD 210277;b;HD 210277 b;Radial Velocity;0;1998;44.219.000.000;1.130.000;0.480000;41.000.070;129.000;Msini;13.600;1.220;0.125;0.89600;;;0;0;1;22h09m29.87s;332.374.451;-07d32m55.2s;-7.548.654;21.31;6.530;V (Johnson);4.799;Ks (2MASS);G8/K0 V;5538.00;4.38;0.000;1.01;1.07;0.220;[Fe/H];12.000
615;HD 210702;b;HD 210702 b;Radial Velocity;0;2007;35.410.000.000;1.148.000;0.028000;57.463.664;180.800;Msini;13.400;1.200;0.123;131.000;;;0;0;1;22h11m51.33s;332.963.867;+16d02m26.0s;16.040.550;54.28;5.930;V (Johnson);3.984;Ks (2MASS);K1 III;4951.00;3.28;1.121;1.61;4.92;0.040;[Fe/H];2.100
616;HD 211810;b;HD 211810 b;Radial Velocity;0;2018;155.800.000.000;2.656.000;0.680000;21.294.610;0.67000;Msini;14.000;1.250;0.129;0.42600;;;0;0;1;22h18m06.54s;334.527.252;+61d08m04.0s;61.134.438;64.76;8.590;V (Johnson);6.969;Ks (2MASS);G5;5652.00;;0.070;1.03;1.13;0.170;[Fe/H];
